"lang"
{
    "Language"    "Russian"
"upgrade_disc_modifier_legion_moment_defence_2" "Атаки Moment of Courage уменьшают получаемый вами урон на <b><font color='#53ea48'>4%</font></b> на 4 секунд<br><br>Эффект суммируется 3 раза"
"upgrade_disc_modifier_legion_moment_defence_3" "Атаки Moment of Courage уменьшают получаемый вами урон на <b><font color='#53ea48'>6%</font></b> на 4 секунд<br><br>Эффект суммируется 3 раза"

"talent_disc_modifier_legion_moment_defence_0" "Атаки Moment of Courage уменьшают получаемый вами урон на <b><font color='#297016'>2%</font></b>/<b><font color='#297016'>4%</font></b>/<b><font color='#297016'>6%</font></b> на 4 секунд<br><br>Эффект суммируется 3 раза"
"talent_disc_modifier_legion_moment_defence_1" "Атаки Moment of Courage уменьшают получаемый вами урон на <b><font color='#53ea48'>2%</font></b>/<b><font color='#297016'>4%</font></b>/<b><font color='#297016'>6%</font></b> на 4 секунд<br><br>Эффект суммируется 3 раза"
"talent_disc_modifier_legion_moment_defence_2" "Атаки Moment of Courage уменьшают получаемый вами урон на <b><font color='#297016'>2%</font></b>/<b><font color='#53ea48'>4%</font></b>/<b><font color='#297016'>6%</font></b> на 4 секунд<br><br>Эффект суммируется 3 раза"
"talent_disc_modifier_legion_moment_defence_3" "Атаки Moment of Courage уменьшают получаемый вами урон на <b><font color='#297016'>2%</font></b>/<b><font color='#297016'>4%</font></b>/<b><font color='#53ea48'>6%</font></b> на 4 секунд<br><br>Эффект суммируется 3 раза"

"DOTA_Tooltip_modifier_moment_of_courage_reduction"							"Combat Potential"
"DOTA_Tooltip_modifier_moment_of_courage_reduction_Description"				"Входящий урон уменьшен на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP%%%</font></b>"




"font_disc_modifier_legion_moment_damage" "23"
"upgrade_disc_modifier_legion_moment_damage_1" "Атаки Moment of Courage наносят на <b><font color='#53ea48'>10%</font></b> больше урона"
"upgrade_disc_modifier_legion_moment_damage_2" "Атаки Moment of Courage наносят на <b><font color='#53ea48'>15%</font></b> больше урона"
"upgrade_disc_modifier_legion_moment_damage_3" "Атаки Moment of Courage наносят на <b><font color='#53ea48'>20%</font></b> больше урона"

"talent_disc_modifier_legion_moment_damage_0" "Атаки Moment of Courage наносят на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b> больше урона"
"talent_disc_modifier_legion_moment_damage_1" "Атаки Moment of Courage наносят на <b><font color='#53ea48'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b> больше урона"
"talent_disc_modifier_legion_moment_damage_2" "Атаки Moment of Courage наносят на <b><font color='#297016'>10%</font></b>/<b><font color='#53ea48'>15%</font></b>/<b><font color='#297016'>20%</font></b> больше урона"
"talent_disc_modifier_legion_moment_damage_3" "Атаки Moment of Courage наносят на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#53ea48'>20%</font></b> больше урона"


"font_disc_modifier_legion_moment_armor" "18"
"upgrade_disc_modifier_legion_moment_armor_1" "После того как Moment of Courage сработает 4 раза, ваша следующая атака усилится<br><br>Она нанесет критический урон в <b><font color='#53ea48'>140%</font></b> и оглушит цель на 0.5 сек, а также будет иметь прорубающий урон в 100%" 
"upgrade_disc_modifier_legion_moment_armor_2" "После того как Moment of Courage сработает 4 раза, ваша следующая атака усилится<br><br>Она нанесет критический урон в <b><font color='#53ea48'>200%</font></b> и оглушит цель на 0.5 сек, а также будет иметь прорубающий урон в 100%" 

"talent_disc_modifier_legion_moment_armor_0" "После того как Moment of Courage сработает 4 раза, ваша следующая атака усилится<br><br>Она нанесет критический урон в <b><font color='#297016'>140%</font></b>/<b><font color='#297016'>200%</font></b> и оглушит цель на 0.5 сек, а также будет иметь прорубающий урон в 100%"
"talent_disc_modifier_legion_moment_armor_1" "После того как Moment of Courage сработает 4 раза, ваша следующая атака усилится<br><br>Она нанесет критический урон в <b><font color='#53ea48'>140%</font></b>/<b><font color='#297016'>200%</font></b> и оглушит цель на 0.5 сек, а также будет иметь прорубающий урон в 100%"
"talent_disc_modifier_legion_moment_armor_2" "После того как Moment of Courage сработает 4 раза, ваша следующая атака усилится<br><br>Она нанесет критический урон в <b><font color='#297016'>140%</font></b>/<b><font color='#53ea48'>200%</font></b> и оглушит цель на 0.5 сек, а также будет иметь прорубающий урон в 100%"
"mini_disc_modifier_legion_moment_armor" "Moment of Courage усиляет следующую атаку"


"DOTA_Tooltip_modifier_moment_of_courage_crit_attack"							"Moment of Courage"
"DOTA_Tooltip_modifier_modifier_moment_of_courage_crit_attack_Description"				"Следующая атака усилена"




"DOTA_Tooltip_modifier_moment_of_courage_slow"							"Sunder Armor"
"DOTA_Tooltip_modifier_moment_of_courage_slow_Description"				"Броня снижена на <b><font color='#ff0000'>%fMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%</font></b>, скорость передвижения снижена на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%</font></b>"



"font_disc_modifier_legion_moment_lowhp" "18"
"upgrade_disc_modifier_legion_moment_lowhp_1" "Когда уровень вашего здоровья опускается ниже 30%, ваша броня увеличивается на <b><font color='#53ea48'>30</font></b>, а вампиризм Moment of Courage увеличивается до <b><font color='#53ea48'>150%</font></b><br><br>Длительность: 5 секунд<br>Перезарядка: 30 секунд"
"mini_disc_modifier_legion_moment_lowhp" "На низком здоровье исцеление Moment of Courage увеличивается"

"DOTA_Tooltip_modifier_moment_of_courage_lowhp"							"Die by the Sword"
"DOTA_Tooltip_modifier_moment_of_courage_lowhp_Description"				"Moment of Courage восстанавливает больше здоровья. Броня увеличена на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%</font></b>"



"DOTA_Tooltip_modifier_moment_of_courage_lowhp_cd"							"Die by the Sword cooldown"
"DOTA_Tooltip_modifier_moment_of_courage_lowhp_cd_Description"				"Перезарядка увеличенного вампиризма Moment of Courage"


"font_disc_modifier_legion_moment_bkb" "19"
"upgrade_disc_modifier_legion_moment_bkb_1" "Атаки Moment of Courage снижают броню цели на <b><font color='#53ea48'>4</font></b>, а скорость передвижения на <b><font color='#53ea48'>20%</font></b> на 4 секунд<br><br>Эффект суммируется 3 раза"
"mini_disc_modifier_legion_moment_bkb" "Moment of Courage снижает броню и замедляет передвижение"

"DOTA_Tooltip_modifier_moment_of_courage_bkb"							"Magic Immunity"


"font_disc_modifier_legion_moment_legendary" "17"
"upgrade_disc_modifier_legion_moment_legendary" "Переключаемая<br>Меняет боевую стойку<br><br>Атакующая: Скорость передвижения увеличивается на <b><font color='#fb9531'>10%</font></b>, а Moment of Courage может сработать от ваших атак<br><br>Защитная: Входящий урон снижается на <b><font color='#fb9531'>10%</font></b>, шанс срабатывания Moment of Courage удваивается"
"mini_disc_modifier_legion_moment_legendary" "Активная<br>Меняет боевую стойку"

"DOTA_Tooltip_modifier_moment_of_courage_legendary_attack"							"Moment of Courage"
"DOTA_Tooltip_modifier_moment_of_courage_legendary_attack_Description"				"Скорость передвижения увеличена на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%</font></b><br><br>Moment of Courage может сработать от ваших атак"

"DOTA_Tooltip_modifier_moment_of_courage_legendary_defence"							"Moment of Courage"
